"Time","Temperature"
2025-06-03 19:00:00,20.5 °C
2025-06-04 01:00:00,20.2 °C
2025-06-04 07:00:00,20.5 °C
2025-06-04 13:00:00,20.4 °C
2025-06-04 19:00:00,20.1 °C
2025-06-05 01:00:00,19.8 °C
2025-06-05 07:00:00,20.0 °C
2025-06-05 13:00:00,20.6 °C
2025-06-05 19:00:00,20.3 °C
2025-06-06 01:00:00,20.0 °C
2025-06-06 07:00:00,20.2 °C
2025-06-06 13:00:00,20.7 °C
2025-06-06 19:00:00,20.4 °C
2025-06-07 01:00:00,20.1 °C
2025-06-07 07:00:00,20.1 °C
2025-06-07 13:00:00,20.2 °C
2025-06-07 19:00:00,20.1 °C
2025-06-08 01:00:00,19.9 °C
2025-06-08 07:00:00,20.1 °C
2025-06-08 13:00:00,20.4 °C
2025-06-08 19:00:00,20.3 °C
2025-06-09 01:00:00,19.8 °C
2025-06-09 07:00:00,20.0 °C
2025-06-09 13:00:00,20.4 °C
2025-06-09 19:00:00,20.4 °C
2025-06-10 01:00:00,20.0 °C
2025-06-10 07:00:00,20.2 °C
2025-06-10 13:00:00,21.0 °C
2025-06-10 19:00:00,20.7 °C
2025-06-11 01:00:00,20.1 °C
2025-06-11 07:00:00,20.5 °C
2025-06-11 13:00:00,21.2 °C
2025-06-11 19:00:00,20.9 °C
2025-06-12 01:00:00,20.5 °C
2025-06-12 07:00:00,
2025-06-12 13:00:00,
2025-06-12 19:00:00,
2025-06-13 01:00:00,
2025-06-13 07:00:00,
2025-06-13 13:00:00,
2025-06-13 19:00:00,
2025-06-14 01:00:00,
2025-06-14 07:00:00,
2025-06-14 13:00:00,
2025-06-14 19:00:00,
2025-06-15 01:00:00,
2025-06-15 07:00:00,
2025-06-15 13:00:00,
2025-06-15 19:00:00,
2025-06-16 01:00:00,
2025-06-16 07:00:00,
2025-06-16 13:00:00,
2025-06-16 19:00:00,
2025-06-17 01:00:00,
2025-06-17 07:00:00,
2025-06-17 13:00:00,
2025-06-17 19:00:00,
2025-06-18 01:00:00,
2025-06-18 07:00:00,
2025-06-18 13:00:00,
2025-06-18 19:00:00,
2025-06-19 01:00:00,
2025-06-19 07:00:00,
2025-06-19 13:00:00,21.6 °C
2025-06-19 19:00:00,21.3 °C
2025-06-20 01:00:00,20.9 °C
2025-06-20 07:00:00,20.9 °C
2025-06-20 13:00:00,21.5 °C
2025-06-20 19:00:00,21.4 °C
2025-06-21 01:00:00,20.9 °C
2025-06-21 07:00:00,20.9 °C
2025-06-21 13:00:00,21.2 °C
2025-06-21 19:00:00,
2025-06-22 01:00:00,
2025-06-22 07:00:00,
2025-06-22 13:00:00,21.3 °C
2025-06-22 19:00:00,21.5 °C
2025-06-23 01:00:00,21.2 °C
2025-06-23 07:00:00,21.1 °C
2025-06-23 13:00:00,21.4 °C
2025-06-23 19:00:00,21.5 °C
2025-06-24 01:00:00,21.0 °C
2025-06-24 07:00:00,21.0 °C
2025-06-24 13:00:00,21.7 °C
2025-06-24 19:00:00,21.6 °C
2025-06-25 01:00:00,20.9 °C
2025-06-25 07:00:00,21.3 °C
2025-06-25 13:00:00,21.4 °C
2025-06-25 19:00:00,21.6 °C
2025-06-26 01:00:00,21.2 °C
2025-06-26 07:00:00,21.5 °C
2025-06-26 13:00:00,21.6 °C
2025-06-26 19:00:00,21.2 °C
2025-06-27 01:00:00,20.8 °C
2025-06-27 07:00:00,20.9 °C
2025-06-27 13:00:00,21.1 °C
2025-06-27 19:00:00,21.4 °C
2025-06-28 01:00:00,21.0 °C
2025-06-28 07:00:00,21.0 °C
2025-06-28 13:00:00,21.3 °C
2025-06-28 19:00:00,21.5 °C
2025-06-29 01:00:00,21.1 °C
2025-06-29 07:00:00,21.1 °C
2025-06-29 13:00:00,21.4 °C
2025-06-29 19:00:00,21.6 °C
2025-06-30 01:00:00,21.2 °C
2025-06-30 07:00:00,21.3 °C
2025-06-30 13:00:00,22.1 °C
2025-06-30 19:00:00,21.8 °C
2025-07-01 01:00:00,21.3 °C
2025-07-01 07:00:00,21.3 °C
2025-07-01 13:00:00,23.7 °C
2025-07-01 19:00:00,24.2 °C
2025-07-02 01:00:00,23.1 °C
2025-07-02 07:00:00,23.2 °C
2025-07-02 13:00:00,24.6 °C
2025-07-02 19:00:00,24.6 °C
2025-07-03 01:00:00,23.7 °C
2025-07-03 07:00:00,23.5 °C
2025-07-03 13:00:00,23.5 °C
2025-07-03 19:00:00,23.3 °C
2025-07-04 01:00:00,22.6 °C
2025-07-04 07:00:00,22.6 °C
2025-07-04 13:00:00,23.1 °C
2025-07-04 19:00:00,22.9 °C
2025-07-05 01:00:00,22.3 °C
2025-07-05 07:00:00,22.4 °C
2025-07-05 13:00:00,22.8 °C
2025-07-05 19:00:00,23.0 °C
2025-07-06 01:00:00,22.3 °C
2025-07-06 07:00:00,22.2 °C
2025-07-06 13:00:00,22.1 °C
2025-07-06 19:00:00,22.0 °C
2025-07-07 01:00:00,21.7 °C
2025-07-07 07:00:00,21.8 °C
2025-07-07 13:00:00,22.0 °C
2025-07-07 19:00:00,21.8 °C
2025-07-08 01:00:00,21.6 °C
2025-07-08 07:00:00,21.8 °C
2025-07-08 13:00:00,21.9 °C
2025-07-08 19:00:00,21.6 °C
2025-07-09 01:00:00,21.3 °C
2025-07-09 07:00:00,21.7 °C
2025-07-09 13:00:00,22.4 °C
2025-07-09 19:00:00,21.9 °C
2025-07-10 01:00:00,21.5 °C
2025-07-10 07:00:00,21.7 °C
2025-07-10 13:00:00,22.7 °C
2025-07-10 19:00:00,22.2 °C
2025-07-11 01:00:00,21.8 °C
2025-07-11 07:00:00,22.0 °C
2025-07-11 13:00:00,22.9 °C
2025-07-11 19:00:00,22.5 °C
2025-07-12 01:00:00,22.2 °C
2025-07-12 07:00:00,22.4 °C
2025-07-12 13:00:00,22.9 °C
2025-07-12 19:00:00,22.7 °C
2025-07-13 01:00:00,22.4 °C
2025-07-13 07:00:00,22.4 °C
2025-07-13 13:00:00,22.9 °C
2025-07-13 19:00:00,22.7 °C
2025-07-14 01:00:00,22.4 °C
2025-07-14 07:00:00,22.4 °C
2025-07-14 13:00:00,22.9 °C
2025-07-14 19:00:00,22.6 °C
2025-07-15 01:00:00,22.4 °C
2025-07-15 07:00:00,22.5 °C
2025-07-15 13:00:00,23.0 °C
2025-07-15 19:00:00,22.6 °C
2025-07-16 01:00:00,22.2 °C
2025-07-16 07:00:00,22.2 °C
2025-07-16 13:00:00,23.0 °C
2025-07-16 19:00:00,22.5 °C
2025-07-17 01:00:00,22.3 °C
2025-07-17 07:00:00,22.5 °C
2025-07-17 13:00:00,23.0 °C
2025-07-17 19:00:00,22.7 °C
2025-07-18 01:00:00,22.3 °C
2025-07-18 07:00:00,22.3 °C
2025-07-18 13:00:00,23.0 °C
2025-07-18 19:00:00,22.8 °C
2025-07-19 01:00:00,22.4 °C
2025-07-19 07:00:00,22.3 °C
2025-07-19 13:00:00,22.3 °C
2025-07-19 19:00:00,22.2 °C
2025-07-20 01:00:00,22.0 °C
2025-07-20 07:00:00,22.1 °C
2025-07-20 13:00:00,22.6 °C
2025-07-20 19:00:00,22.3 °C
2025-07-21 01:00:00,22.0 °C
2025-07-21 07:00:00,21.9 °C
2025-07-21 13:00:00,22.2 °C
2025-07-21 19:00:00,21.9 °C
2025-07-22 01:00:00,21.8 °C
2025-07-22 07:00:00,22.0 °C
2025-07-22 13:00:00,22.6 °C
2025-07-22 19:00:00,22.2 °C
2025-07-23 01:00:00,21.9 °C
2025-07-23 07:00:00,22.3 °C
2025-07-23 13:00:00,23.1 °C
2025-07-23 19:00:00,22.3 °C
2025-07-24 01:00:00,22.0 °C
2025-07-24 07:00:00,22.0 °C
2025-07-24 13:00:00,22.4 °C
2025-07-24 19:00:00,22.2 °C
2025-07-25 01:00:00,22.0 °C
2025-07-25 07:00:00,21.9 °C
2025-07-25 13:00:00,22.6 °C
2025-07-25 19:00:00,22.1 °C
2025-07-26 01:00:00,21.8 °C
2025-07-26 07:00:00,21.8 °C
2025-07-26 13:00:00,22.0 °C
2025-07-26 19:00:00,21.8 °C
2025-07-27 01:00:00,21.7 °C
2025-07-27 07:00:00,21.8 °C
